"juz","no_ayat","kata","label"
"1","1","Dengan","O"
"1","1","menyebut","O"
"1","1","nama","O"
"1","1","Allah","O"
"1","1","Yang","O"
"1","1","Maha","O"
"1","1","Pemurah","O"
"1","1","lagi","O"
"1","1","Maha","O"
"1","1","Penyayang","O"
"1","2","Segala","O"
"1","2","puji","O"
"1","2","bagi","O"
"1","2","Allah","O"
"1","2","Tuhan","O"
"1","2","semesta","O"
"1","2","alam","O"
"1","3","Maha","O"
"1","3","Pemurah","O"
"1","3","lagi","O"
"1","3","Maha","O"
"1","3","Penyayang","O"
"1","4","Yang","O"
"1","4","menguasai","O"
"1","4","di","O"
"1","4","Hari","O"
"1","4","Pembalasan","O"
"1","5","Hanya","O"
"1","5","Engkaulah","O"
"1","5","yang","O"
"1","5","kami","O"
"1","5","sembah","O"
"1","5","dan","O"
"1","5","hanya","O"
"1","5","kepada","O"
"1","5","Engkaulah","O"
"1","5","kami","O"
"1","5","meminta","O"
"1","5","pertolongan","O"
"1","6","Tunjukilah","O"
"1","6","kami","O"
"1","6","jalan","O"
"1","6","yang","O"
"1","6","lurus","O"
"1","7","yaitu","O"
"1","7","Jalan","O"
"1","7","orang-orang","B-PER"
"1","7","yang","I-PER"
"1","7","telah","I-PER"
"1","7","Engkau","I-PER"
"1","7","beri","I-PER"
"1","7","nikmat","I-PER"
"1","7","kepada","O"
"1","7","mereka","O"
"1","7","bukan","O"
"1","7","jalan","O"
"1","7","mereka","B-PER"
"1","7","yang","I-PER"
"1","7","dimurkai","I-PER"
"1","7","dan","O"
"1","7","bukan","O"
"1","7","pula","O"
"1","7","jalan","O"
"1","7","mereka","B-PER"
"1","7","yang","I-PER"
"1","7","sesat","I-PER"
"2","1","Alif","O"
"2","1","laam","O"
"2","1","miim","O"
"2","2","Kitab","O"
"2","2","Al","O"
"2","2","Quran","O"
"2","2","ini","O"
"2","2","tidak","O"
"2","2","ada","O"
"2","2","keraguan","O"
"2","2","padanya","O"
"2","2","petunjuk","O"
"2","2","bagi","O"
"2","2","mereka","B-PER"
"2","2","yang","I-PER"
"2","2","bertakwa","I-PER"
"2","3","yaitu","O"
"2","3","mereka","B-PER"
"2","3","yang","I-PER"
"2","3","beriman","I-PER"
"2","3","kepada","O"
"2","3","yang","O"
"2","3","ghaib","O"
"2","3","yang","O"
"2","3","mendirikan","O"
"2","3","shalat","O"
"2","3","dan","O"
"2","3","menafkahkan","O"
"2","3","sebahagian","O"
"2","3","rezeki","O"
"2","3","yang","O"
"2","3","Kami","O"
"2","3","anugerahkan","O"
"2","3","kepada","O"
"2","3","mereka","O"
"2","4","dan","O"
"2","4","mereka","B-PER"
"2","4","yang","I-PER"
"2","4","beriman","I-PER"
"2","4","kepada","O"
"2","4","Kitab","O"
"2","4","Al","O"
"2","4","Quran","O"
"2","4","yang","O"
"2","4","telah","O"
"2","4","diturunkan","O"
"2","4","kepadamu","O"
"2","4","dan","O"
"2","4","Kitab-kitab","O"
"2","4","yang","O"
"2","4","telah","O"
"2","4","diturunkan","O"
"2","4","sebelummu","O"
"2","4","serta","O"
"2","4","mereka","O"
"2","4","yakin","O"
"2","4","akan","O"
"2","4","adanya","O"
"2","4","kehidupan","O"
"2","4","akhirat","O"
"2","5","Mereka","O"
"2","5","itulah","O"
"2","5","yang","O"
"2","5","tetap","O"
"2","5","mendapat","O"
"2","5","petunjuk","O"
"2","5","dari","O"
"2","5","Tuhan","O"
"2","5","mereka","O"
"2","5","dan","O"
"2","5","merekalah","O"
"2","5","orang-orang","B-PER"
"2","5","yang","I-PER"
"2","5","beruntung","I-PER"
"2","6","Sesungguhnya","O"
"2","6","orang-orang","B-PER"
"2","6","kafir","I-PER"
"2","6","sama","O"
"2","6","saja","O"
"2","6","bagi","O"
"2","6","mereka","O"
"2","6","kamu","O"
"2","6","beri","O"
"2","6","peringatan","O"
"2","6","atau","O"
"2","6","tidak","O"
"2","6","kamu","O"
"2","6","beri","O"
"2","6","peringatan","O"
"2","6","mereka","O"
"2","6","tidak","O"
"2","6","juga","O"
"2","6","akan","O"
"2","6","beriman","O"
"2","7","Allah","O"
"2","7","telah","O"
"2","7","mengunci-mati","O"
"2","7","hati","O"
"2","7","dan","O"
"2","7","pendengaran","O"
"2","7","mereka","O"
"2","7","dan","O"
"2","7","penglihatan","O"
"2","7","mereka","O"
"2","7","ditutup","O"
"2","7","Dan","O"
"2","7","bagi","O"
"2","7","mereka","O"
"2","7","siksa","O"
"2","7","yang","O"
"2","7","amat","O"
"2","7","berat","O"
"2","8","Di","O"
"2","8","antara","O"
"2","8","manusia","O"
"2","8","ada","O"
"2","8","yang","O"
"2","8","mengatakan","O"
"2","8","Kami","O"
"2","8","beriman","O"
"2","8","kepada","O"
"2","8","Allah","O"
"2","8","dan","O"
"2","8","Hari","O"
"2","8","kemudian","O"
"2","8","pada","O"
"2","8","hal","O"
"2","8","mereka","O"
"2","8","itu","O"
"2","8","sesungguhnya","O"
"2","8","bukan","O"
"2","8","orang-orang","B-PER"
"2","8","yang","I-PER"
"2","8","beriman","I-PER"
"2","9","Mereka","O"
"2","9","hendak","O"
"2","9","menipu","O"
"2","9","Allah","O"
"2","9","dan","O"
"2","9","orang-orang","B-PER"
"2","9","yang","I-PER"
"2","9","beriman","I-PER"
"2","9","padahal","O"
"2","9","mereka","O"
"2","9","hanya","O"
"2","9","menipu","O"
"2","9","dirinya","O"
"2","9","sendiri","O"
"2","9","sedang","O"
"2","9","mereka","O"
"2","9","tidak","O"
"2","9","sadar","O"
"2","10","Dalam","O"
"2","10","hati","O"
"2","10","mereka","O"
"2","10","ada","O"
"2","10","penyakit","O"
"2","10","lalu","O"
"2","10","ditambah","O"
"2","10","Allah","O"
"2","10","penyakitnya","O"
"2","10","dan","O"
"2","10","bagi","O"
"2","10","mereka","O"
"2","10","siksa","O"
"2","10","yang","O"
"2","10","pedih","O"
"2","10","disebabkan","O"
"2","10","mereka","O"
"2","10","berdusta","O"
"2","11","Dan","O"
"2","11","bila","O"
"2","11","dikatakan","O"
"2","11","kepada","O"
"2","11","mereka","O"
"2","11","Janganlah","O"
"2","11","kamu","O"
"2","11","membuat","O"
"2","11","kerusakan","O"
"2","11","di","O"
"2","11","muka","O"
"2","11","bumi","O"
"2","11","Mereka","O"
"2","11","menjawab","O"
"2","11","Sesungguhnya","O"
"2","11","kami","O"
"2","11","orang-orang","B-PER"
"2","11","yang","I-PER"
"2","11","mengadakan","I-PER"
"2","11","perbaikan","I-PER"
"2","12","Ingatlah","O"
"2","12","sesungguhnya","O"
"2","12","mereka","O"
"2","12","itulah","O"
"2","12","orang-orang","B-PER"
"2","12","yang","I-PER"
"2","12","membuat","I-PER"
"2","12","kerusakan","I-PER"
"2","12","tetapi","O"
"2","12","mereka","O"
"2","12","tidak","O"
"2","12","sadar","O"
"2","13","Apabila","O"
"2","13","dikatakan","O"
"2","13","kepada","O"
"2","13","mereka","O"
"2","13","Berimanlah","O"
"2","13","kamu","O"
"2","13","sebagaimana","O"
"2","13","orang-orang","O"
"2","13","lain","O"
"2","13","telah","O"
"2","13","beriman","O"
"2","13","Mereka","O"
"2","13","menjawab","O"
"2","13","Akan","O"
"2","13","berimankah","O"
"2","13","kami","O"
"2","13","sebagaimana","O"
"2","13","orang-orang","B-PER"
"2","13","yang","I-PER"
"2","13","bodoh","I-PER"
"2","13","itu","O"
"2","13","telah","O"
"2","13","beriman","O"
"2","13","Ingatlah","O"
"2","13","sesungguhnya","O"
"2","13","merekalah","O"
"2","13","orang-orang","B-PER"
"2","13","yang","I-PER"
"2","13","bodoh","I-PER"
"2","13","tetapi","O"
"2","13","mereka","O"
"2","13","tidak","O"
"2","13","tahu","O"
"2","14","Dan","O"
"2","14","bila","O"
"2","14","mereka","O"
"2","14","berjumpa","O"
"2","14","dengan","O"
"2","14","orang-orang","B-PER"
"2","14","yang","I-PER"
"2","14","beriman","I-PER"
"2","14","mereka","O"
"2","14","mengatakan","O"
"2","14","Kami","O"
"2","14","telah","O"
"2","14","beriman","O"
"2","14","Dan","O"
"2","14","bila","O"
"2","14","mereka","O"
"2","14","kembali","O"
"2","14","kepada","O"
"2","14","syaitan-syaitan","O"
"2","14","mereka","O"
"2","14","mereka","O"
"2","14","mengatakan","O"
"2","14","Sesungguhnya","O"
"2","14","kami","O"
"2","14","sependirian","O"
"2","14","dengan","O"
"2","14","kamu","O"
"2","14","kami","O"
"2","14","hanyalah","O"
"2","14","berolok-olok","O"
"2","15","Allah","O"
"2","15","akan","O"
"2","15","membalas","O"
"2","15","olok-olokan","O"
"2","15","mereka","O"
"2","15","dan","O"
"2","15","membiarkan","O"
"2","15","mereka","O"
"2","15","terombang-ambing","O"
"2","15","dalam","O"
"2","15","kesesatan","O"
"2","15","mereka","O"
"2","16","Mereka","O"
"2","16","itulah","O"
"2","16","orang","B-PER"
"2","16","yang","I-PER"
"2","16","membeli","I-PER"
"2","16","kesesatan","I-PER"
"2","16","dengan","I-PER"
"2","16","petunjuk","I-PER"
"2","16","maka","O"
"2","16","tidaklah","O"
"2","16","beruntung","O"
"2","16","perniagaan","O"
"2","16","mereka","O"
"2","16","dan","O"
"2","16","tidaklah","O"
"2","16","mereka","O"
"2","16","mendapat","O"
"2","16","petunjuk","O"
"2","17","Perumpamaan","O"
"2","17","mereka","O"
"2","17","adalah","O"
"2","17","seperti","O"
"2","17","orang","B-PER"
"2","17","yang","I-PER"
"2","17","menyalakan","I-PER"
"2","17","api","I-PER"
"2","17","maka","O"
"2","17","setelah","O"
"2","17","api","O"
"2","17","itu","O"
"2","17","menerangi","O"
"2","17","sekelilingnya","O"
"2","17","Allah","O"
"2","17","hilangkan","O"
"2","17","cahaya","O"
"2","17","yang","O"
"2","17","menyinari","O"
"2","17","mereka","O"
"2","17","dan","O"
"2","17","membiarkan","O"
"2","17","mereka","O"
"2","17","dalam","O"
"2","17","kegelapan","O"
"2","17","tidak","O"
"2","17","dapat","O"
"2","17","melihat","O"
"2","18","Mereka","O"
"2","18","tuli","O"
"2","18","bisu","O"
"2","18","dan","O"
"2","18","buta","O"
"2","18","maka","O"
"2","18","tidaklah","O"
"2","18","mereka","O"
"2","18","akan","O"
"2","18","kembali","O"
"2","18","ke","O"
"2","18","jalan","O"
"2","18","yang","O"
"2","18","benar","O"
"2","19","atau","O"
"2","19","seperti","O"
"2","19","orang-orang","B-PER"
"2","19","yang","I-PER"
"2","19","ditimpa","I-PER"
"2","19","hujan","I-PER"
"2","19","lebat","I-PER"
"2","19","dari","I-PER"
"2","19","langit","I-PER"
"2","19","disertai","O"
"2","19","gelap","O"
"2","19","gulita","O"
"2","19","guruh","O"
"2","19","dan","O"
"2","19","kilat","O"
"2","19","mereka","O"
"2","19","menyumbat","O"
"2","19","telinganya","O"
"2","19","dengan","O"
"2","19","anak","O"
"2","19","jarinya","O"
"2","19","karena","O"
"2","19","mendengar","O"
"2","19","suara","O"
"2","19","petir","O"
"2","19","sebab","O"
"2","19","takut","O"
"2","19","akan","O"
"2","19","mati","O"
"2","19","Dan","O"
"2","19","Allah","O"
"2","19","meliputi","O"
"2","19","orang-orang","B-PER"
"2","19","yang","I-PER"
"2","19","kafir","I-PER"
"2","20","Hampir-hampir","O"
"2","20","kilat","O"
"2","20","itu","O"
"2","20","menyambar","O"
"2","20","penglihatan","O"
"2","20","mereka","O"
"2","20","Setiap","O"
"2","20","kali","O"
"2","20","kilat","O"
"2","20","itu","O"
"2","20","menyinari","O"
"2","20","mereka","O"
"2","20","mereka","O"
"2","20","berjalan","O"
"2","20","di","O"
"2","20","bawah","O"
"2","20","sinar","O"
"2","20","itu","O"
"2","20","dan","O"
"2","20","bila","O"
"2","20","gelap","O"
"2","20","menimpa","O"
"2","20","mereka","O"
"2","20","mereka","O"
"2","20","berhenti","O"
"2","20","Jikalau","O"
"2","20","Allah","O"
"2","20","menghendaki","O"
"2","20","niscaya","O"
"2","20","Dia","O"
"2","20","melenyapkan","O"
"2","20","pendengaran","O"
"2","20","dan","O"
"2","20","penglihatan","O"
"2","20","mereka","O"
"2","20","Sesungguhnya","O"
"2","20","Allah","O"
"2","20","berkuasa","O"
"2","20","atas","O"
"2","20","segala","O"
"2","20","sesuatu","O"
"2","21","Hai","O"
"2","21","manusia","O"
"2","21","sembahlah","O"
"2","21","Tuhanmu","O"
"2","21","yang","O"
"2","21","telah","O"
"2","21","menciptakanmu","O"
"2","21","dan","O"
"2","21","orang-orang","B-PER"
"2","21","yang","I-PER"
"2","21","sebelummu","I-PER"
"2","21","agar","O"
"2","21","kamu","O"
"2","21","bertakwa","O"
"2","22","Dialah","O"
"2","22","yang","O"
"2","22","menjadikan","O"
"2","22","bumi","O"
"2","22","sebagai","O"
"2","22","hamparan","O"
"2","22","bagimu","O"
"2","22","dan","O"
"2","22","langit","O"
"2","22","sebagai","O"
"2","22","atap","O"
"2","22","dan","O"
"2","22","Dia","O"
"2","22","menurunkan","O"
"2","22","air","O"
"2","22","hujan","O"
"2","22","dari","O"
"2","22","langit","O"
"2","22","lalu","O"
"2","22","Dia","O"
"2","22","menghasilkan","O"
"2","22","dengan","O"
"2","22","hujan","O"
"2","22","itu","O"
"2","22","segala","O"
"2","22","buah-buahan","O"
"2","22","sebagai","O"
"2","22","rezeki","O"
"2","22","untukmu","O"
"2","22","karena","O"
"2","22","itu","O"
"2","22","janganlah","O"
"2","22","kamu","O"
"2","22","mengadakan","O"
"2","22","sekutu-sekutu","O"
"2","22","bagi","O"
"2","22","Allah","O"
"2","22","padahal","O"
"2","22","kamu","O"
"2","22","mengetahui","O"
"2","23","Dan","O"
"2","23","jika","O"
"2","23","kamu","O"
"2","23","tetap","O"
"2","23","dalam","O"
"2","23","keraguan","O"
"2","23","tentang","O"
"2","23","Al","O"
"2","23","Quran","O"
"2","23","yang","O"
"2","23","Kami","O"
"2","23","wahyukan","O"
"2","23","kepada","O"
"2","23","hamba","O"
"2","23","Kami","O"
"2","23","Muhammad","O"
"2","23","buatlah","O"
"2","23","satu","O"
"2","23","surat","O"
"2","23","saja","O"
"2","23","yang","O"
"2","23","semisal","O"
"2","23","Al","O"
"2","23","Quran","O"
"2","23","itu","O"
"2","23","dan","O"
"2","23","ajaklah","O"
"2","23","penolong-penolongmu","O"
"2","23","selain","O"
"2","23","Allah","O"
"2","23","jika","O"
"2","23","kamu","O"
"2","23","orang-orang","B-PER"
"2","23","yang","I-PER"
"2","23","benar","I-PER"
"2","24","Maka","O"
"2","24","jika","O"
"2","24","kamu","O"
"2","24","tidak","O"
"2","24","dapat","O"
"2","24","membuatnya","O"
"2","24","dan","O"
"2","24","pasti","O"
"2","24","kamu","O"
"2","24","tidak","O"
"2","24","akan","O"
"2","24","dapat","O"
"2","24","membuatnya","O"
"2","24","peliharalah","O"
"2","24","dirimu","O"
"2","24","dari","O"
"2","24","neraka","O"
"2","24","yang","O"
"2","24","bahan","O"
"2","24","bakarnya","O"
"2","24","manusia","O"
"2","24","dan","O"
"2","24","batu","O"
"2","24","yang","O"
"2","24","disediakan","O"
